Topic,Topic_Label,Pravda_Counts,Ylilauta_Counts
0,"mik, hinta, maa, siit, mieli, ky, ongelma, arvo, alkoholi, tllainen",112,5
1,"sota, normaali, vika, vaimo, huomio, ilta, media, syyst, ryssi, rotta",186,0
2,"ruoka, alue, raja, x, lauta, ruma, kone, tytn, vuotias, tuki",298,0
3,"lapsi, suomalainen, tapa, mit, maa, siit, raha, valtio, tapaus, rikos",223,7
4,"kuva, mitn, min, iso, siell, n, miss, pit, maailma, hyv",162,14
5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha",5495,4690
6,"mies, min, ihminen, eik, m, vittu, siit, persu, kohta, pakko",99,57
7,"auto, video, palkka, kova, euro, e, k, vli, eik, vara",24,22
8,"nainen, neekeri, min, paha, vhn, plle, tst, lisksi, pillu, muija",16,145
9,"paikka, v, s, ymmrr, koulu, ero, viesti, toiminta, julkinen, valta",125,2
